eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2014-01-31,2014-01-31,2014-02-28,1.0,0,1.0,0.0025,0.0016666666666666668,-0.0008374999999999355,0,0,0.9991625000000001
2014-02-28,2014-02-28,2014-03-28,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0008277708333335
2014-03-28,2014-03-28,2014-04-25,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0024958171180558
2014-04-25,2014-04-25,2014-05-30,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0041666434799192
2014-05-30,2014-05-30,2014-06-27,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.005840254552386
2014-06-27,2014-06-27,2014-07-25,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.00751665497664
2014-07-25,2014-07-25,2014-08-29,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.009195849401601
2014-08-29,2014-08-29,2014-09-26,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0108778424839369
2014-09-26,2014-09-26,2014-10-31,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0125626388880768
2014-10-31,2014-10-31,2014-11-28,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0142502432862237
2014-11-28,2014-11-28,2014-12-26,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.0159406603583674
2014-12-26,2014-12-26,2015-01-30,1.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.017633894792298
2015-01-30,2015-01-30,2015-02-27,1.0,3,2.0,0.005,0.048264590143930475,0.04302326719321092,3,0,1.061415829752815
2015-02-27,2015-02-27,2015-03-27,1.0,3,0.6666666666666666,0.0016666666666666666,-0.022368156395365046,-0.023997542801372784,1,1,1.035944457948267
2015-03-27,2015-03-27,2015-04-24,1.0,3,0.6666666666666666,0.0016666666666666666,0.05617910417485883,0.05441880566790047,1,1,1.0923193180880924
2015-04-24,2015-04-24,2015-05-29,1.0,3,0.0,0.0,-0.048280255581480525,-0.048280255581480525,0,0,1.0395818622342108
2015-05-29,2015-05-29,2015-06-26,1.0,3,0.0,0.0,-0.046386133760288474,-0.04638613376028844,0,0,0.9913596789178449
2015-06-26,2015-06-26,2015-07-31,1.0,3,0.6666666666666666,0.0016666666666666666,-0.008616620928236266,-0.01026892656002254,1,1,0.9811794791804701
2015-07-31,2015-07-31,2015-08-28,1.0,3,0.6666666666666666,0.0016666666666666666,-0.11611936822533316,-0.11759250261162435,1,1,0.8658001287124685
2015-08-28,2015-08-28,2015-09-25,1.0,3,0.0,0.0,-0.08629657910108483,-0.08629657910108479,0,0,0.7910845394193036
2015-09-25,2015-09-25,2015-10-30,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,3,0.7884409985834107
2015-10-30,2015-10-30,2015-11-27,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.789755066914383
2015-11-27,2015-11-27,2015-12-25,1.0,3,2.0,0.005,-0.033298268148144995,-0.038131776807404205,3,0,0.7596403029702872
2015-12-25,2015-12-25,2016-01-29,1.0,3,0.0,0.0,-0.1896449753433567,-0.18964497534335667,0,0,0.6155783364436671
2016-01-29,2016-01-29,2016-02-26,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,3,0.6135212788360511
2016-02-26,2016-02-26,2016-03-25,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.6145438143007779
2016-03-25,2016-03-25,2016-04-29,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.6155680539912792
2016-04-29,2016-04-29,2016-05-27,1.0,3,2.0,0.005,0.022870671004006676,0.017756317648986775,3,0,0.626498275892517
2016-05-27,2016-05-27,2016-06-24,1.0,3,0.6666666666666666,0.0016666666666666666,0.06342876240237542,0.061656381131704796,1,1,0.665125892369302
2016-06-24,2016-06-24,2016-07-29,1.0,3,0.0,0.0,0.06594595485035855,0.06594595485035848,0,0,0.7089882544372924
2016-07-29,2016-07-29,2016-08-26,1.0,3,0.0,0.0,-0.04413106039298631,-0.04413106039298631,0,0,0.6776998509628023
2016-08-26,2016-08-26,2016-09-30,1.0,3,1.3333333333333333,0.003333333333333333,0.02578837049864931,0.022369075930320337,2,2,0.692859370386956
2016-09-30,2016-09-30,2016-10-28,1.0,3,0.0,0.0,-0.06887243223600122,-0.06887243223600126,0,0,0.6451404603509019
2016-10-28,2016-10-28,2016-11-25,1.0,3,0.6666666666666666,0.0016666666666666666,-0.04936850189315308,-0.050952887723331286,1,1,0.6122686909088642
2016-11-25,2016-11-25,2016-12-30,1.0,3,0.0,0.0,0.009444338151213446,0.009444338151213483,0,0,0.6180511634652083
2016-12-30,2016-12-30,2017-01-27,1.0,3,1.3333333333333333,0.003333333333333333,0.027627229721368846,0.02420180562229768,2,2,0.6330091175880281
