code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s1m_lsv,M,Fold1,IS,2014-01-01,2018-12-31,58,0.0196672984780994,-0.2912889912056815,0.0724620366421849,0.0675181660545908,451,8.506593406593407,1.7613567130148766,0.0986285122433847,4.829568788501026,46
s1m_lsv,M,Fold1,OOS,2019-01-01,2020-12-31,24,0.074364184870826,-0.248992580429287,0.3341891660309587,0.2986602441832407,204,4.297377622377622,2.153109981582204,0.1539184360535159,1.995893223819302,24
s1m_lsv,M,Fold2,IS,2016-01-01,2020-12-31,60,0.0196669672234073,-0.3742263329054961,0.0951796441758238,0.0525536700496537,568,10.761663336663336,2.151449115334583,0.1023236360430401,5.002053388090349,60
s1m_lsv,M,Fold2,OOS,2021-01-01,2022-12-31,24,0.2204104462680178,-0.1564866602233473,1.0540418350151284,1.408493516018775,194,3.486996336996337,1.744692345325907,0.4889955939068759,1.998631074606434,24
s1m_lsv,M,Fold3,IS,2018-01-01,2022-12-31,60,0.0804349283308196,-0.3298112901911394,0.3758798606892266,0.2438816702854661,518,9.78437395937396,1.957142710110262,0.4722110772361727,4.999315537303217,60
s1m_lsv,M,Fold3,OOS,2023-01-01,2024-12-31,24,0.0430314412661085,-0.104218658524985,0.2191259338239266,0.4128957508678004,182,3.6163170163170166,1.8044532653139207,0.0881028389842011,2.004106776180698,24
s1m_lsv,M,Fold4,IS,2020-01-01,2024-12-31,60,0.1489067142156364,-0.2277347990655649,0.696330695282689,0.6538601690502561,499,9.511646686646689,1.9015484139560497,1.0023851939375832,5.002053388090349,60
s1m_lsv,M,Fold4,OOS,2025-01-01,2026-05-31,17,0.7156811819406645,-0.0233113103340356,2.027811903300988,30.70102759928234,128,3.002719502719503,2.117265054765055,1.150203385897572,1.4182067077344285,17
s1m_lsv,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.2063288580630962,-0.248992580429287,0.8850450775226487,0.8286546438747913,708,14.40341047841048,1.9419880683792647,3.019925546586477,7.416837782340862,89
s1m_lsv,M,FULL,ALL,2015-01-01,2026-06-30,138,0.1336826006152913,-0.3742263329054963,0.6258998597515947,0.3572239280367539,1183,23.060003885003884,2.005396766428016,3.2324914419350472,11.498973305954824,136
s2m_lsv,M,Fold1,IS,2014-01-01,2018-12-31,58,-0.015227621964453,-0.2936572671600693,-0.1825836988150271,-0.0518550830078815,460,9.892307692307693,2.0482796964939824,-0.0714290979794896,4.829568788501026,40
s2m_lsv,M,Fold1,OOS,2019-01-01,2020-12-31,24,0.057554493842665,-0.1272297732300366,0.3039807480336658,0.45236655211673,187,5.080710955710956,2.545582546739954,0.1181645105731272,1.995893223819302,18
s2m_lsv,M,Fold2,IS,2016-01-01,2020-12-31,60,-0.0140323073017556,-0.3445330548029547,-0.1463316535547224,-0.0407284790418179,557,12.630710955710958,2.525105186958636,-0.0682469549757524,5.002053388090349,51
