eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity,fold
2020-12-25,2020-12-25,2021-01-29,1.0,2,1.0,0.0025,0.01393880114862539,0.011403954145754014,1,1,1.011403954145754,Fold1
2021-01-29,2021-01-29,2021-02-26,1.0,2,1.0,0.0025,-0.06705953650813062,-0.06939188766686022,1,1,0.9412207245738536,Fold1
2021-02-26,2021-02-26,2021-03-26,1.0,2,0.0,0.0,-0.1106132682445864,-0.1106132682445864,0,0,0.837109224089202,Fold1
2021-03-26,2021-03-26,2021-04-30,1.0,2,2.0,0.005,0.010637373346627788,0.0055841864798946705,2,2,0.841783798100556,Fold1
2021-04-30,2021-04-30,2021-05-28,1.0,2,1.0,0.0025,0.052403897638406804,0.04977288789431067,1,1,0.8836818087146621,Fold1
2021-05-28,2021-05-28,2021-06-25,1.0,2,2.0,0.005,0.06747487021272608,0.062137495861662506,2,2,0.9385915834466958,Fold1
2021-06-25,2021-06-25,2021-07-30,1.0,2,1.0,0.0025,0.07630910614537256,0.07361833338000934,1,1,1.0076891315445455,Fold1
2021-07-30,2021-07-30,2021-08-27,1.0,2,2.0,0.005,-0.025582869736761604,-0.030454955388077853,2,2,0.9770000039983054,Fold1
2021-08-27,2021-08-27,2021-09-24,1.0,2,2.0,0.005,-0.036626596188357896,-0.0414434632074161,2,2,0.9365097402789563,Fold1
2021-09-24,2021-09-24,2021-10-29,1.0,2,1.0,0.0025,0.0541181311857567,0.051482835857792564,1,1,0.9847239175169618,Fold1
2021-10-29,2021-10-29,2021-11-26,1.0,2,2.0,0.005,0.02842111016242793,0.023279004611615806,2,2,1.0076473101340075,Fold1
2021-11-26,2021-11-26,2021-12-31,1.0,2,2.0,0.005,0.053397824223473056,0.048130835102355496,2,2,1.0561462166593996,Fold1
2021-12-31,2021-12-31,2022-01-28,1.0,2,2.0,0.005,-0.22551526280988543,-0.22938768649583596,2,2,0.81387927941857,Fold1
2022-01-28,2022-01-28,2022-02-25,1.0,2,1.0,0.0025,-0.015352771814016564,-0.017814389884481363,1,1,0.7993805166161068,Fold1
2022-02-25,2022-02-25,2022-03-25,1.0,2,2.0,0.005,-0.0020695643249737383,-0.007059216503348842,2,2,0.7937375164807549,Fold1
2022-03-25,2022-03-25,2022-04-29,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.7910851102798483,Fold1
2022-04-29,2022-04-29,2022-05-27,1.0,2,2.0,0.005,0.14280619129829797,0.13709216034180627,2,0,0.8995366770623487,Fold1
2022-05-27,2022-05-27,2022-06-24,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,2,0.8965307253331654,Fold1
2022-06-24,2022-06-24,2022-07-29,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.8980249432087206,Fold1
2022-07-29,2022-07-29,2022-08-26,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.8995216514474018,Fold1
2022-08-26,2022-08-26,2022-09-30,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.9010208541998141,Fold1
2022-09-30,2022-09-30,2022-10-28,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.9025225556234805,Fold1
2022-10-28,2022-10-28,2022-11-25,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.904026759882853,Fold1
2022-11-25,2022-11-25,2022-12-30,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.9055334711493245,Fold1
2022-12-30,2022-12-30,2023-01-27,1.0,4,2.0,0.005,-0.08639695879798917,-0.09096497400399917,4,0,0.823161642486475,Fold2
2023-01-27,2023-01-27,2023-02-24,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,4,0.8204109106644994,Fold2
2023-02-24,2023-02-24,2023-03-31,1.0,4,2.0,0.005,-0.02150510000292294,-0.02639757450290836,4,0,0.7987540525272344,Fold2
2023-03-31,2023-03-31,2023-04-28,1.0,4,1.0,0.0025,0.012465981658362796,0.009934816704216809,2,2,0.8066895276308429,Fold2
2023-04-28,2023-04-28,2023-05-26,1.0,4,1.5,0.00375,0.03554733143634495,0.031664028943458655,3,3,0.8322325681821309,Fold2
2023-05-26,2023-05-26,2023-06-30,1.0,4,1.5,0.00375,0.049491281710780044,0.0455556894043645,3,3,0.8701454965704326,Fold2
2023-06-30,2023-06-30,2023-07-28,1.0,4,1.5,0.00375,0.04719927694713083,0.04327227965857894,3,3,0.9077986758416814,Fold2
2023-07-28,2023-07-28,2023-08-25,1.0,4,0.5,0.00125,-0.10706687348576355,-0.10818303989390643,1,1,0.8095902554774653,Fold2
2023-08-25,2023-08-25,2023-09-29,1.0,4,0.0,0.0,-0.03623952908858208,-0.03623952908858208,0,0,0.7802510858642572,Fold2
2023-09-29,2023-09-29,2023-10-27,1.0,4,0.0,0.0,-0.08138510213088965,-0.08138510213088967,0,0,0.716750271553457,Fold2
2023-10-27,2023-10-27,2023-11-24,1.0,4,0.5,0.00125,0.21690744884103114,0.21538631452997992,1,1,0.8711284709817184,Fold2
2023-11-24,2023-11-24,2023-12-29,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,4,0.8682174500078544,Fold2
2023-12-29,2023-12-29,2024-01-26,1.0,4,2.0,0.005,0.06208893069444893,0.056778486040976794,4,0,0.9175135223736579,Fold2
2024-01-26,2024-01-26,2024-02-23,1.0,4,0.5,0.00125,0.05297711139575867,0.05166089000651408,1,1,0.9649130875324927,Fold2
2024-02-23,2024-02-23,2024-03-29,1.0,4,0.5,0.00125,0.0356509612870497,0.034356397585440845,1,1,0.9980640252031543,Fold2
2024-03-29,2024-03-29,2024-04-26,1.0,4,0.5,0.00125,-0.05036141826840945,-0.051548466495573875,1,1,0.9466153552395319,Fold2
2024-04-26,2024-04-26,2024-05-31,1.0,4,0.5,0.00125,0.07086864059193992,0.06953005479119989,1,1,1.0124335727555276,Fold2
2024-05-31,2024-05-31,2024-06-28,1.0,4,1.0,0.0025,0.06576691191291378,0.06310249463313156,2,2,1.0763206568467354,Fold2
2024-06-28,2024-06-28,2024-07-26,1.0,4,0.0,0.0,-0.03882832939122069,-0.03882832939122072,0,0,1.0345289238521154,Fold2
2024-07-26,2024-07-26,2024-08-30,1.0,4,0.5,0.00125,0.030983298167307327,0.029694569044598218,1,1,1.0652488144100758,Fold2
2024-08-30,2024-08-30,2024-09-27,1.0,4,1.0,0.0025,0.018073430916680094,0.015528247339388512,2,2,1.0817902614782258,Fold2
2024-09-27,2024-09-27,2024-10-25,1.0,4,0.5,0.00125,0.010450139941079434,0.009187077266153088,1,1,1.0917287521961982,Fold2
2024-10-25,2024-10-25,2024-11-29,1.0,4,0.5,0.00125,0.01947866948991847,0.018204321153056036,1,1,1.111602933013203,Fold2
2024-11-29,2024-11-29,2024-12-27,1.0,4,1.0,0.0025,-0.006894375854720941,-0.009377139915084154,2,2,1.1011792767803201,Fold2
2024-12-27,2024-12-27,2025-01-31,1.0,3,0.6666666666666666,0.0016666666666666666,0.02529021171291986,0.02358139469339826,1,1,1.1271466199342677,Fold3
2025-01-31,2025-01-31,2025-02-28,1.0,3,1.3333333333333333,0.003333333333333333,-0.08186977287524007,-0.0849302069656559,2,2,1.0314178242226109,Fold3
2025-02-28,2025-02-28,2025-03-28,1.0,3,0.6666666666666666,0.0016666666666666666,-0.10091647766863514,-0.10241495020585412,1,1,0.9257852191134218,Fold3
2025-03-28,2025-03-28,2025-04-25,1.0,3,1.3333333333333333,0.003333333333333333,-0.015001275594633193,-0.01828460467598436,2,2,0.9088576023670634,Fold3
2025-04-25,2025-04-25,2025-05-30,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,3,0.9058205032124867,Fold3
2025-05-30,2025-05-30,2025-06-27,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,0.9073302040511743,Fold3
2025-06-27,2025-06-27,2025-07-25,1.0,3,2.0,0.005,0.0955334208346581,0.09005575373048491,3,0,0.9890405094594374,Fold3
2025-07-25,2025-07-25,2025-08-29,1.0,3,0.0,0.0,-0.0006033875350649476,-0.0006033875350649476,0,0,0.9884437347443553,Fold3
2025-08-29,2025-08-29,2025-09-26,1.0,3,0.0,0.0,0.07381692671662739,0.07381692671662732,0,0,1.0614076134754888,Fold3
2025-09-26,2025-09-26,2025-10-31,1.0,3,0.0,0.0,0.06157527395394139,0.06157527395394147,0,0,1.1267640780520414,Fold3
2025-10-31,2025-10-31,2025-11-28,1.0,3,0.6666666666666666,0.0016666666666666666,-0.09960007884739593,-0.10110074538265035,1,1,1.0128473898905852,Fold3
2025-11-28,2025-11-28,2025-12-26,1.0,3,0.6666666666666666,0.0016666666666666666,0.025955338817075495,0.024245413252380388,1,1,1.0374042934200773,Fold3
2025-12-26,2025-12-26,2026-01-30,1.0,3,0.6666666666666666,0.0016666666666666666,0.03342492087907752,0.03170254601094569,1,1,1.07029265076418,Fold3
2026-01-30,2026-01-30,2026-02-27,1.0,3,0.6666666666666666,0.0016666666666666666,0.01245379867849894,0.01076637568070149,1,1,1.0818158235306008,Fold3
2026-02-27,2026-02-27,2026-03-27,1.0,3,0.0,0.0,-0.0790337867767406,-0.07903378677674056,0,0,0.9963158224019794,Fold3
2026-03-27,2026-03-27,2026-04-24,1.0,3,0.6666666666666666,0.0016666666666666666,0.3932772607855828,0.3909551320176068,1,1,1.3858306062803756,Fold3
