code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s1m,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.09465846164428271,-0.5599335068669212,0.3681629758373105,0.16905304019746772,1036,12.950000000000001,1.7460271317829457,0.9557948127152589,7.416837782340862,89
s2m,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.0051312015780304865,-0.4730963864820439,0.11145763782903008,0.010845996132386944,986,15.325000000000003,2.06624446290144,0.0386896664351668,7.416837782340862,72
s3m,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.08949792929528444,-0.3634963136927295,0.357166673607442,0.24621413181906096,702,11.525000000000002,1.5538967331118496,0.8884358565112529,7.416837782340862,50
s1w,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.10196002624336176,-0.5856679337626841,0.3983653224955184,0.17409187077788096,2000,25.0,3.3694649446494465,1.0551931524353622,7.4195756331279945,387
s2w,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.04590014973370882,-0.5386549970868962,0.23104500117215432,0.0852125200396204,1976,31.450000000000006,4.238786900369004,0.39511240306979234,7.4195756331279945,300
s3w,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.08055234756052787,-0.41266828694220525,0.352887552429382,0.19519878340399183,1616,27.450000000000003,3.6996725092250924,0.776796299248609,7.4195756331279945,222
s1m-kd200,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.19764553026817988,-0.3363886342804767,0.7499655455746456,0.587551154012491,0,0.0,0.0,2.810204450877507,7.416837782340862,89
s2m-kd200,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.13173756071239717,-0.28038634099568827,0.6024753633889843,0.4698430039230157,12,6.0,0.808970099667774,1.5039367762908773,7.416837782340862,72
s3m-kd200,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.1430447526858516,-0.23645059037741722,0.620433320072318,0.6049667816753035,11,5.500000000000001,0.7415559246954597,1.6955388149956883,7.416837782340862,50
s1w-kd200,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.23490541912864882,-0.354270221418888,0.931528688294939,0.6630684853720669,0,0.0,0.0,3.785013212533025,7.4195756331279945,387
s2w-kd200,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.18541401115783307,-0.32218277953242114,0.8648704322480404,0.5754932384248517,27,13.5,1.8195110701107013,2.5325186916482965,7.4195756331279945,300
s3w-kd200,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.17440766703092114,-0.2948637692941435,0.8228025336714812,0.5914855780634735,29,14.500000000000002,1.9542896678966792,2.2962978314931153,7.4195756331279945,222
s1m_us_sec,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.2983370334962012,-0.2227217318916478,0.9162068157796369,1.3395057184690877,144,12.0,1.617940199335548,5.933879437302775,7.416837782340862,89
s2m_us_sec,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.2144251588044801,-0.22329046732006774,0.7718837191337878,0.9602969682405654,139,15.333333333333332,2.0673680324843113,3.2243919765230604,7.416837782340862,68
s3m_us_sec,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.1876923484676627,-0.22329046732006763,0.6768705516402767,0.8405748383276116,145,16.333333333333332,2.202196382428941,2.5815180369308397,7.416837782340862,69
s1w_us_sec,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.24389682270358626,-0.40513080908097765,0.7484979830939694,0.6020199334058449,380,31.666666666666664,4.269564414913251,4.046615430868282,7.416837782340862,387
s2w_us_sec,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.16272033983576883,-0.31077977644686394,0.6105158381510327,0.5235872864577795,355,36.33333333333333,4.89876338132152,2.0592816005714947,7.416837782340862,301
s3w_us_sec,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.2012086505677435,-0.27763044153021443,0.7208743828945038,0.7247355493826351,355,36.33333333333333,4.89876338132152,2.8950867676159984,7.416837782340862,303
s1m-sp500,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.16108181439433356,-0.24769522239058828,0.8619196742658417,0.650322653944149,0,0.0,0.0,2.023738860843991,7.408624229979466,89
s2m-sp500,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.09524533347896003,-0.19228227902947814,0.6297046007809339,0.49534119295703943,14,7.000000000000001,0.9448447893569846,0.9621183539251066,7.408624229979466,70
s3m-sp500,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.053162583170858646,-0.21891451325711297,0.3080991036930525,0.24284631649076507,16,8.000000000000002,1.0798226164079823,0.46777714710600926,7.408624229979466,70
s1w-sp500,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.16221418572575264,-0.3181032904337877,0.8021717711850471,0.5099418666953935,0,0.0,0.0,2.049417915137235,7.416837782340862,387
