eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity,fold
2020-12-25,2020-12-25,2021-01-01,1.0,3,0.0,0.0,-0.032212889020809654,-0.032212889020809654,0,0,0.9677871109791903,Fold1
2021-01-01,2021-01-01,2021-01-08,1.0,3,0.0,0.0,0.10875341203843554,0.10875341203843547,0,0,1.0730372614249972,Fold1
2021-01-08,2021-01-08,2021-01-15,1.0,3,0.0,0.0,-0.017336817281657962,-0.017336817281657924,0,0,1.0544342104872615,Fold1
2021-01-15,2021-01-15,2021-01-22,1.0,3,0.0,0.0,0.062244174709317944,0.06224417470931787,0,0,1.1200665977043123,Fold1
2021-01-22,2021-01-22,2021-01-29,1.0,3,0.0,0.0,-0.07900534686083809,-0.07900534686083804,0,0,1.0315753476454443,Fold1
2021-01-29,2021-01-29,2021-02-05,1.0,3,0.0,0.0,0.10660247518459391,0.10660247518459398,0,0,1.1415438330438568,Fold1
2021-02-05,2021-02-05,2021-02-12,1.0,3,0.0,0.0,0.0406093849975957,0.0406093849975957,0,0,1.1879012260515658,Fold1
2021-02-12,2021-02-12,2021-02-19,1.0,3,0.0,0.0,-0.038006274935395844,-0.03800627493539588,0,0,1.1427535254581562,Fold1
2021-02-19,2021-02-19,2021-02-26,1.0,3,0.6666666666666666,0.0016666666666666666,-0.11506816944987586,-0.11654305583412605,1,1,1.009573537536042,Fold1
2021-02-26,2021-02-26,2021-03-05,1.0,3,0.6666666666666666,0.0016666666666666666,-0.08421820544419083,-0.08574450843511716,1,1,0.9230081508309117,Fold1
2021-03-05,2021-03-05,2021-03-12,1.0,3,0.0,0.0,0.07238019912366041,0.07238019912366034,0,0,0.9898156645808146,Fold1
2021-03-12,2021-03-12,2021-03-19,1.0,3,0.0,0.0,-0.022425949958885066,-0.022425949958885028,0,0,0.9676181080184048,Fold1
2021-03-19,2021-03-19,2021-03-26,1.0,3,0.0,0.0,-0.03756518278012,-0.03756518278012,0,0,0.9312693569293394,Fold1
2021-03-26,2021-03-26,2021-04-02,1.0,3,0.0,0.0,0.06681235238461743,0.06681235238461736,0,0,0.9934896533694985,Fold1
