eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2014-01-03,2014-01-06,2014-01-13,1.0,0,1.0,0.0025,0.0003846153846153846,-0.002116346153846038,0,0,0.997883653846154
2014-01-10,2014-01-13,2014-01-20,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9982674552514794
2014-01-17,2014-01-20,2014-01-27,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.99865140427273
2014-01-24,2014-01-27,2014-02-03,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9990355009666811
2014-01-29,2014-02-03,2014-02-10,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9994197453901299
2014-02-07,2014-02-10,2014-02-17,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,0.9998041375998954
2014-02-14,2014-02-17,2014-02-24,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0001886776528184
2014-02-21,2014-02-24,2014-03-03,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0005733656057618
2014-02-28,2014-03-03,2014-03-10,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0009582015156102
2014-03-07,2014-03-10,2014-03-17,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.00134318543927
2014-03-14,2014-03-17,2014-03-24,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0017283174336697
2014-03-21,2014-03-24,2014-03-31,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0021135975557596
2014-03-28,2014-03-31,2014-04-07,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.002499025862512
2014-04-04,2014-04-07,2014-04-14,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0028846024109206
2014-04-11,2014-04-14,2014-04-21,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0032703272580017
2014-04-18,2014-04-21,2014-04-28,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0036562004607932
2014-04-25,2014-04-28,2014-05-07,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.004042222076355
2014-05-02,2014-05-07,2014-05-12,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.004428392161769
2014-05-09,2014-05-12,2014-05-19,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.004814710774139
2014-05-16,2014-05-19,2014-05-26,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0052011779705907
2014-05-23,2014-05-26,2014-06-02,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0055877938082718
2014-05-30,2014-06-02,2014-06-09,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.005974558344352
2014-06-05,2014-06-09,2014-06-16,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.006361471636023
2014-06-13,2014-06-16,2014-06-23,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0067485337404984
2014-06-20,2014-06-23,2014-06-30,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.007135744715014
2014-06-27,2014-06-30,2014-07-07,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0075231046168276
2014-07-04,2014-07-07,2014-07-14,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0079106135032188
2014-07-11,2014-07-14,2014-07-21,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0082982714314892
2014-07-18,2014-07-21,2014-07-28,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0086860784589629
2014-07-25,2014-07-28,2014-08-04,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0090740346429856
2014-08-01,2014-08-04,2014-08-11,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0094621400409254
2014-08-08,2014-08-11,2014-08-18,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.009850394710172
2014-08-14,2014-08-18,2014-08-25,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0102387987081376
2014-08-22,2014-08-25,2014-09-01,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0106273520922562
2014-08-29,2014-09-01,2014-09-11,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.011016054919984
2014-09-05,2014-09-11,2014-09-15,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0114049072487994
2014-09-12,2014-09-15,2014-09-22,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0117939091362027
2014-09-19,2014-09-22,2014-09-29,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0121830606397166
2014-09-26,2014-09-29,2014-10-06,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0125723618168858
2014-10-02,2014-10-06,2014-10-13,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.012961812725277
2014-10-10,2014-10-13,2014-10-20,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0133514134224793
2014-10-17,2014-10-20,2014-10-27,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0137411639661034
2014-10-24,2014-10-27,2014-11-03,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0141310644137826
2014-10-31,2014-11-03,2014-11-10,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0145211148231725
2014-11-07,2014-11-10,2014-11-17,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0149113152519507
2014-11-14,2014-11-17,2014-11-24,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0153016657578169
2014-11-21,2014-11-24,2014-12-01,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.015692166398493
2014-11-28,2014-12-01,2014-12-08,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0160828172317233
2014-12-05,2014-12-08,2014-12-15,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.016473618315274
2014-12-12,2014-12-15,2014-12-22,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0168645697069338
2014-12-19,2014-12-22,2014-12-29,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0172556714645136
2014-12-26,2014-12-29,2015-01-05,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.017646923645846
2015-01-02,2015-01-05,2015-01-12,1.0,0,0.0,0.0,0.0003846153846153846,0.00038461538461542766,0,0,1.0180383263087869
2015-01-09,2015-01-12,2015-01-19,1.0,12,2.0,0.005,0.004591277605632928,-0.0004316787823952506,12,0,1.0175988607636541
2015-01-16,2015-01-19,2015-01-26,1.0,10,0.3333333333333334,0.0008333333333333336,0.006406552670429178,0.005567880543203785,0,2,1.0232647296612865
2015-01-23,2015-01-26,2015-02-02,1.0,10,0.6000000000000001,0.0015000000000000002,0.011743802137647762,0.010226186434441287,3,3,1.033728825558591
2015-01-30,2015-02-02,2015-02-09,1.0,10,0.6000000000000001,0.0015000000000000002,-0.009328450795044008,-0.010814458118851289,3,3,1.0225496084683383
2015-02-06,2015-02-09,2015-02-16,1.0,10,0.6000000000000001,0.0015000000000000002,0.026918215669192513,0.025377838345688852,3,3,1.0484997071324953
2015-02-13,2015-02-16,2015-02-23,1.0,12,0.3333333333333334,0.0008333333333333336,0.01226655928842868,0.01142300382235506,2,0,1.060476723294808
2015-02-17,2015-02-23,2015-03-02,1.0,10,0.3333333333333334,0.0008333333333333336,0.01306610779479006,0.012221886038294327,0,2,1.073437748953181
2015-02-27,2015-03-02,2015-03-09,1.0,10,0.4,0.001,0.007644067760057926,0.006636423692297999,2,2,1.080561536662541
2015-03-06,2015-03-09,2015-03-16,1.0,10,0.4,0.001,0.02506506439618319,0.02403999933178702,2,2,1.1065382352818631
2015-03-13,2015-03-16,2015-03-23,1.0,15,0.9333333333333333,0.0023333333333333335,0.029408772220574343,0.02700681841872621,7,2,1.1364223124754982
2015-03-20,2015-03-23,2015-03-30,1.0,15,0.0,0.0,-0.023217990706443658,-0.023217990706443703,0,0,1.1100368697858467
2015-03-27,2015-03-30,2015-04-06,1.0,15,0.0,0.0,0.019492770744005742,0.019492770744005794,0,0,1.131674564005976
2015-04-03,2015-04-06,2015-04-13,1.0,15,1.2,0.003,0.036250691657467096,0.033141939582494784,9,9,1.1691804540333082
2015-04-10,2015-04-13,2015-04-20,1.0,15,0.0,0.0,0.010586298267795217,0.010586298267795113,0,0,1.181557747048581
2015-04-17,2015-04-20,2015-04-27,1.0,15,0.26666666666666666,0.0006666666666666666,-0.01041604571324454,-0.011075768349435688,2,2,1.1684710871507897
2015-04-24,2015-04-27,2015-05-04,1.0,15,0.0,0.0,-0.012206904101161526,-0.012206904101161542,0,0,1.1542076726449602
2015-04-30,2015-05-04,2015-05-11,1.0,15,0.0,0.0,0.007271463188517857,0.0072714631885177905,0,0,1.1626004512485029
2015-05-08,2015-05-11,2015-05-18,1.0,15,0.0,0.0,0.043301415998597485,0.04330141599859738,0,0,1.2129426970281714
2015-05-15,2015-05-18,2015-05-26,1.0,15,0.0,0.0,0.07851844558412716,0.07851844558412724,0,0,1.3081810721814424
2015-05-22,2015-05-26,2015-06-01,1.0,15,0.0,0.0,-0.0052734090303919,-0.005273409030391862,0,0,1.301282498302013
2015-05-29,2015-06-01,2015-06-08,1.0,15,0.0,0.0,-0.003609906917357534,-0.0036099069173575193,0,0,1.2965849896099564
2015-06-05,2015-06-08,2015-06-15,1.0,15,0.0,0.0,0.029244381870784063,0.029244381870784153,0,0,1.3345028161740367
2015-06-12,2015-06-15,2015-06-22,1.0,15,0.0,0.0,0.06751260308107646,0.06751260308107643,0,0,1.424598575112973
2015-06-19,2015-06-22,2015-06-29,1.0,15,0.0,0.0,0.048478815942931235,0.04847881594293124,0,0,1.493661427228437
2015-06-26,2015-06-29,2015-07-06,1.0,15,0.0,0.0,0.009305266003639612,0.009305266003639678,0,0,1.5075603441281737
2015-07-03,2015-07-06,2015-07-13,1.0,15,1.6,0.004,-0.03313454523614319,-0.03700200705519863,12,12,1.4517775856386055
2015-07-10,2015-07-13,2015-07-20,1.0,15,0.0,0.0,0.05159454932177187,0.051594549321771765,0,0,1.5266813958850793
2015-07-17,2015-07-20,2015-07-27,1.0,15,0.4,0.001,0.0015583648995044423,0.0005568065346048812,3,3,1.527531462062568
2015-07-24,2015-07-27,2015-08-03,1.0,15,0.4,0.001,-0.04894954786055747,-0.04990059831269689,3,3,1.4513067281641772
2015-07-31,2015-08-03,2015-08-10,1.0,15,0.0,0.0,0.02052280953988601,0.020522809539885944,0,0,1.4810916197302455
2015-08-07,2015-08-10,2015-08-17,1.0,15,0.0,0.0,-0.028197628802958966,-0.02819762880295895,0,0,1.4393283480139187
2015-08-13,2015-08-17,2015-08-24,1.0,15,0.0,0.0,-0.12207356480882092,-0.12207356480882092,0,0,1.2636244056414685
2015-08-21,2015-08-24,2015-08-31,1.0,15,0.0,0.0,0.07094236138626223,0.07094236138626231,0,0,1.3532689048829865
2015-08-28,2015-08-31,2015-09-07,1.0,15,0.0,0.0,-0.09188247850923889,-0.09188247850923892,0,0,1.2289272038128543
2015-09-04,2015-09-07,2015-09-14,1.0,15,0.0,0.0,0.04287550797895349,0.042875507978953564,0,0,1.2816180819454854
