date,stocks,bonds,gold,cash
2014-05-31,0.0191978059650326,0.0048105463552434,-0.0274962368289011,0.0018216343924573
2014-06-30,0.0,0.0063154463594508,0.0488081725312146,0.002181986489316
2014-07-31,0.0382970544423622,0.0063770345776985,-0.0166273120818575,0.0031009115800353
2014-08-31,-0.0189744539059607,0.0028363943593974,-0.0035017508754376,0.0019293379959002
2014-09-30,-0.0326917633739032,0.0082042846826606,-0.055421686746988,0.0024507926782568
2014-10-31,-0.0252621311875151,0.0076401185810071,-0.0227465986394558,0.0023138294969604
2014-11-30,0.0127082603692401,0.0030605193010169,-0.0005438329345225,0.0016660314694834
2014-12-31,-0.0243070994516081,0.001003937007874,-0.0038089019479813,0.0012610340479193
2015-01-31,0.0277482404172362,0.0067648620479439,0.066309809919161,0.0022257448102145
2015-02-28,0.0024141498743657,-0.0003906631506983,-0.0397500256121299,0.001256648864141
2015-03-31,0.0199056325567679,0.0103957010258914,-0.0265656673423663,0.0026724371111712
2015-04-30,0.0404317864199315,-0.0031330380799504,0.0147961420429636,0.0013920062154695
2015-05-31,-0.022649374710514,0.0041517120962266,-0.0059401663246571,0.0011961078005624
2015-06-30,-0.0343111700867257,-0.0002511640487644,-0.0135810517166449,0.0016574823488892
2015-07-31,-0.033567257201747,0.0024349708190005,-0.0821676396078863,0.0014613285195452
2015-08-31,-0.0471233433199613,0.0029495681677975,0.046561862474499,0.0010407501984937
2015-09-30,0.0206767918998134,0.0062854396924556,-0.0028666437335167,0.0014255243893288
2015-10-31,0.0607737691223306,-0.0006685513447433,0.0189742410303588,0.000963267403031
2015-11-30,-0.0232809962100704,-0.0031920790565208,-0.0848662679155851,0.0005560189046427
2015-12-31,-0.0060471679096956,0.0053499520613613,0.0123319768158836,0.0017312501335842
2016-01-31,-0.0338166700466436,0.0034522878559575,0.0436106712145205,0.0012801911752156
2016-02-29,0.0174214199506743,0.0052651587150731,0.1028364655071787,0.0014490282986703
2016-03-31,0.042807777605859,0.0010399531075688,-0.0005292125317527,0.0011596731636736
2016-04-30,-0.0022750877887135,0.0006799894223867,0.0347347241342794,0.0011583298795974
2016-05-31,-0.0062459723392653,0.0002642606364906,-0.0504554293316958,0.0008810105084386
2016-06-30,0.0041901531401207,0.0076804045893719,0.0859021340806207,0.0018665224353875
2016-07-31,0.0296557548060205,0.0020412367272795,0.0162779156327543,0.0011220612052631
2016-08-31,0.0189116171362409,-0.0016819914779098,-0.023342123254224,0.0006978588421886
2016-09-30,0.0030303030303029,0.00271444082519,0.0123999999999999,0.000929829566467
2016-10-31,-0.005381419939577,-0.0047980882325485,-0.0378308968787041,0.0004855957520928
2016-11-30,-0.0045562411010916,-0.0076914418639553,-0.0729904527255929,9.496175151668672e-05
2016-12-31,0.0360923047582721,0.0044237749546278,-0.0325581395348837,0.001730249831195
2017-01-31,0.0345129078275274,-0.0005270092226613,0.0444139194139194,0.001421830896912
2017-02-28,0.004848538766069,0.0013558811344205,0.0371547566856642,0.0012410210027029
2017-03-31,0.0429836210712704,0.0026140595027646,-0.0126809679805558,0.0011134336824192
2017-04-30,0.0238105343576249,0.0006565002907359,0.0245103285882479,0.001112195326681
2017-05-31,0.064049415471354,0.0021181675039363,-0.005745925616381,0.0012157672434573
2017-06-30,0.0241944909806366,-0.0004676306092291,-0.016181569822423,0.0009316542620565
2017-07-31,0.0073797930614729,0.0011041245602214,0.016447719747944,0.0012445355477002
2017-08-31,-0.020693301110188,0.0007103467613795,0.0266890826941263,0.0009296301325505
2017-09-30,0.0288810056296753,-0.0024284086451348,-0.0178077985876573,0.0009078955607038
2017-10-31,0.0538919911554172,-0.0062356047413066,-0.0057309575909137,-0.0001042611533368
2017-11-30,-0.0251413534369332,0.0036367062370454,0.0031439949696081,0.0010427202485845
2017-12-31,0.0075144086962866,0.0006383418132662,0.006790639364814,0.0013645406914366
2018-01-31,0.0282041998551774,-0.0039214214683753,0.0361108228701878,0.0017059521085152
2018-02-28,-0.0598612627205182,0.0036543098251959,-0.0209313970956435,0.0014642048640678
2018-03-31,0.0085396456796134,0.0036597725310612,0.012172667757774,0.001150986634038
2018-04-30,0.0252534630668102,0.0018138639041083,-0.0180899444163719,0.0014914552045572
2018-05-31,-0.0370195964791538,0.0019972374659349,-0.0122478386167147,0.0014375245620203
2018-06-30,-0.0339665224750799,0.0041914271343679,-0.0409502969678023,0.0011772846033892
2018-07-31,-0.0058017288373179,0.0021889956591103,-0.0259669708822251,0.0013512537778372
2018-08-31,0.0051306152821839,0.0068673182289353,-0.0160624651422197,0.0016172562269514
2018-09-30,0.0054551122194512,-0.0007353617060391,-0.0202924838453689,0.0009975831747828
2018-10-31,-0.1212602697256239,0.0039922730199613,0.0298542004165702,0.0013767311880985
2018-11-30,0.0291510474090408,0.0034083412739134,0.002808988764045,0.0013440584408921
2018-12-31,-0.0214689749742886,0.0028671609627817,0.0423529411764704,0.0015061938379252
2019-01-31,0.0920954674841252,0.0020759355367385,0.0294528646673115,0.0016062366999509
2019-02-28,-0.0075787954126232,0.0013447454978283,-0.0052208415996658,0.0012257280313785
2019-03-31,-0.0217786577235443,0.0051902800210514,-0.023512123438648,0.0014690729537547
2019-04-30,0.0279636513837258,0.0007041109245518,-0.0052671181339353,0.0014465440839404
2019-05-31,-0.0746976333025274,0.0045464386230786,0.0052950075642965,0.0017597933005788
2019-06-30,0.055193677262463,0.003717672413793,0.0930882511017952,0.0015739236393175
