date,value
2022-10-01,-5.8071
2022-11-01,-14.1863
2022-12-01,-9.6905
2023-01-01,-16.4389
2023-02-01,-7.6838
2023-03-01,-13.9595
2023-04-01,-14.5428
2023-05-01,-15.4845
2023-06-01,-5.8637
2023-07-01,-16.2412
2023-08-01,-8.1473
2023-09-01,-4.4172
2023-10-01,4.8864
2023-11-01,7.3191
2023-12-01,4.9674
2024-01-01,18.0639
2024-02-01,4.164
2024-03-01,2.9806
2024-04-01,13.5895
2024-05-01,11.4618
2024-06-01,5.6059
2024-07-01,13.875
2024-08-01,10.8644
2024-09-01,7.1253
2024-10-01,4.5649
2024-11-01,1.3094
2024-12-01,6.5761
2025-01-01,-10.1131
2025-02-01,0.4146
2025-03-01,2.7358
2025-04-01,3.3615
2025-05-01,-1.309
2025-06-01,4.3462
2025-07-01,5.6833
2025-08-01,1.0694
2025-09-01,12.5706
2025-10-01,3.4981
2025-11-01,7.9305
2025-12-01,13.2896
2026-01-01,33.8737
2026-02-01,29.3767
2026-03-01,50.3859
2026-04-01,47.8917
2026-05-01,53.3702
