,stocks,bonds,gold,cash
골디락스,0.35000000000000003,0.35000000000000003,0.15000000000000002,0.14999999999999994
리플레이션,0.3,0.2499999999999999,0.31748684904590707,0.1325131509540932
스태그플레이션,0.10406183446612632,0.3,0.2,0.3959381655338736
디플레이션,0.05000000000000001,0.45,0.05000000000000002,0.45
