date,골디락스,리플레이션,스태그플레이션,디플레이션
2016-04-30,0.05293891775020924,0.01766171380833035,0.026474839381432747,0.9029245290600276
2016-05-31,0.05180509395209983,0.017283168711394493,0.02589301916330495,0.9050187181732008
2016-06-30,0.05084930284186336,0.01692040017398869,0.02540776482805589,0.9068225321560921
2016-07-31,0.049754159117008714,0.01657244964262508,0.024883706759301304,0.9087896844810648
2016-08-31,0.15328086816205033,0.04339244851258582,0.08036381900864788,0.722962864316716
2016-09-30,0.17451247097996747,0.041513796168466434,0.0750480957875947,0.7089256370639714
2016-10-31,0.41115402951839586,0.0396325959827104,0.0706931207279632,0.47852025377093055
2016-11-30,0.5549332483519922,0.016085751130771524,0.024331066673926614,0.4046499338433097
2016-12-31,0.0672607905599931,0.01577302459757012,0.028405949946103095,0.8885602348963337
2017-01-31,0.062260479823050933,0.015472123819163292,0.023478116442407417,0.8987892799153784
2017-02-28,0.06098667907453933,0.015182397010692237,0.022873112935912446,0.900957810978856
2017-03-31,0.0598698960295694,0.01490323886639676,0.02244577284962469,0.9027810922544092
2017-04-30,0.05881334698656856,0.014634086547217123,0.022067880969745535,0.9044846854964688
2017-05-31,0.11493533314611835,0.05225202429149797,0.14225350633709904,0.6905591362252846
2017-06-30,0.10691053993836554,0.0968016194331984,0.12873618893145294,0.6675516516969832
2017-07-31,0.09837251187849072,0.5677767236768633,0.11708864978560518,0.21676211465904083
2017-08-31,0.04529553590579293,0.0534776901269684,0.3261363297179989,0.5750904442492397
2017-09-30,0.04170593623170258,0.05910973817066258,0.33132477390556236,0.5678595516920726
2017-10-31,0.03948062254112841,0.03350024190959244,0.5748245336196063,0.3521946019296728
2017-11-30,0.08133803555290052,0.11334384980043849,0.3516349301991066,0.4536831844475544
2017-12-31,0.07591120322829426,0.1441169497056458,0.3003061660249508,0.4796656810411091
2018-01-31,0.07154456983855893,0.3452055072467582,0.3246694067288609,0.258580516185822
2018-02-28,0.056735885031544156,0.42407530329462634,0.06774333154712028,0.45144548012670926
2018-03-31,0.05693634679233899,0.07205108273751587,0.3573381848334213,0.5136743856367239
2018-04-30,0.054503734357525604,0.031433600343842516,0.5186506312339192,0.39541203406471265
2018-05-31,0.16466810268271256,0.05019055632491107,0.5592075923827271,0.2259337486096493
2018-06-30,0.18151393337926408,0.04848858728357788,0.5550123914990124,0.2149850878381456
