,regime,strategy,n_months,insufficient,sharpe,ann_return,ann_vol,hit_rate,worst_month,max_dd_concat,t_stat_mean
6,골디락스,153130.KS,30,False,3.8973460142093224,0.008079428053212157,0.0020654216634935197,0.9,-0.0007936158017723,-0.0015419860780683248,6.162245117340207
2,골디락스,130680.KS,30,False,1.2965293358316268,0.7488050997359548,0.441296716459814,0.6666666666666666,-0.1178821178821178,-0.22202643171806147,2.04999287722665
0,골디락스,069500.KS,30,False,0.6108510630186309,0.20888173726518744,0.31301088741839755,0.6333333333333333,-0.1985762855928602,-0.22008707663338867,0.9658403351369617
1,골디락스,229200.KS,30,False,0.5012868772314699,0.19664468032913152,0.360813544058244,0.6,-0.181486396814864,-0.2615424395215237,0.7926041466023234
3,골디락스,132030.KS,30,False,-0.1602523250897549,-0.029697373067509858,0.18788764663500937,0.36666666666666664,-0.1266419669922532,-0.2015977691658315,-0.2533811738106863
4,골디락스,114260.KS,30,False,-0.5640589952115199,-0.013413800436055223,0.023928316394079677,0.5,-0.0173247735467416,-0.04043499607920964,-0.8918555797872061
5,골디락스,148070.KS,30,False,-1.0264237713857074,-0.06411963110429841,0.06438372236739157,0.3333333333333333,-0.0469739230530836,-0.17206480627514487,-1.622918481059399
7,디플레이션,069500.KS,30,False,1.2440406018168468,0.5450008229881889,0.35610241251865876,0.6666666666666666,-0.1288092550790067,-0.1740734187824643,1.9670009017339207
9,디플레이션,130680.KS,30,False,0.6916134877767085,0.27127360817607293,0.35053640844319917,0.5666666666666667,-0.1678726483357453,-0.30072703737934126,1.093536940933711
8,디플레이션,229200.KS,30,False,0.5227177757116156,0.1420396282801082,0.25549835579875046,0.6,-0.1852642819006941,-0.25047125861601993,0.8264893723528738
13,디플레이션,153130.KS,30,False,0.4230553254918534,0.003398317990057187,0.008020313554566661,0.7,-0.0109259900133484,-0.010925990013348374,0.6689092024090751
10,디플레이션,132030.KS,30,False,0.27378840328723036,0.03883976841396608,0.13939613481760904,0.5,-0.1123947523007636,-0.12608444187391554,0.4328974756641897
11,디플레이션,114260.KS,30,False,-0.1561435010101727,-0.0034373735166894903,0.022048954144754596,0.5666666666666667,-0.01231396172927,-0.021867858094206882,-0.24688455251247393
12,디플레이션,148070.KS,30,False,-0.3604016434156971,-0.02069020260538834,0.05796044978464321,0.5,-0.0341044809129915,-0.08932156804174318,-0.5698450328307146
20,리플레이션,153130.KS,36,False,5.613991703709584,0.022928008995109828,0.004041783238766573,0.9444444444444444,-0.0010110334520199,-0.0013183336262964085,9.723718864095163
17,리플레이션,132030.KS,36,False,2.1073258934761903,0.3533740906304259,0.14542049549282846,0.6388888888888888,-0.0559745930924969,-0.06535675479898573,3.6499955156062414
18,리플레이션,114260.KS,36,False,1.7196598647867103,0.030121671186637222,0.01727879458304325,0.6944444444444444,-0.0103966451161977,-0.010396645116197645,2.9785382575476076
19,리플레이션,148070.KS,36,False,0.9912704837424362,0.049054332204154116,0.04840737960800381,0.6666666666666666,-0.0322334112569682,-0.03323655350970012,1.7169308418852782
14,리플레이션,069500.KS,36,False,0.45768815197067625,0.07814186048728233,0.1649057873735615,0.5555555555555556,-0.1141963957337256,-0.2259262582699253,0.7927391332355169
15,리플레이션,229200.KS,36,False,0.29018283351973534,0.06767517473008033,0.22627991482283424,0.5277777777777778,-0.115156311832212,-0.25082719564610645,0.5026114111404827
16,리플레이션,130680.KS,36,False,-0.5407215381576865,-0.18975433840401434,0.3857506938106536,0.3888888888888889,-0.5137318255250404,-0.6899643231932464,-0.9365571768359066
25,스태그플레이션,114260.KS,32,False,1.0000264609066376,0.02080143215847885,0.02060516259267767,0.53125,-0.0076813147552697,-0.012888888888888839,1.633036372335048
21,스태그플레이션,069500.KS,32,False,0.4816576592922532,0.0940035939986068,0.18723082529998644,0.46875,-0.1239834024896265,-0.17686298963672442,0.7865436639795528
24,스태그플레이션,132030.KS,32,False,0.33425012311508195,0.04888675713957635,0.14307972871062355,0.53125,-0.0847838293093767,-0.1371007371007369,0.5458281653962719
27,스태그플레이션,153130.KS,32,False,0.2864797461750959,0.004777978475063227,0.016641829101783617,0.90625,-0.0156949569495694,-0.034205482448343316,0.46781946651401735
26,스태그플레이션,148070.KS,32,False,-0.1712800476065264,-0.012226144960169605,0.07178416945358912,0.46875,-0.0523938950449508,-0.09770788438778233,-0.27969914650373395
22,스태그플레이션,229200.KS,32,False,-0.323907848970613,-0.0803785370312029,0.2577932986671282,0.5,-0.2024734982332156,-0.3772989246669143,-0.5289393024403196
23,스태그플레이션,130680.KS,32,False,-0.5654409856722934,-0.1446859416894386,0.27460555035942164,0.5625,-0.2311459353574926,-0.5203955459989276,-0.9233612630356619
