regime,n_months,kappa,portfolio_vol_monthly,max_weight,min_weight,max_rc_share,min_rc_share,bounds,config
골디락스,24,0.4,0.020443702410112487,0.35000000000000003,0.14999999999999994,0.8358578887162416,0.0004430540022219508,"{'stocks': (0.35, 0.7), 'bonds': (0.1, 0.35), 'gold': (0.03, 0.15), 'cash': (0.05, 0.25)}","{'n0': 36.0, 'ridge': 1e-08, 'bounds': None, 'regime_bounds': None}"
리플레이션,24,0.4,0.025278034185606743,0.31748684904590707,0.1325131509540932,0.620100906566099,0.0016909911015220494,"{'stocks': (0.3, 0.6), 'bonds': (0.05, 0.25), 'gold': (0.1, 0.35), 'cash': (0.05, 0.3)}","{'n0': 36.0, 'ridge': 1e-08, 'bounds': None, 'regime_bounds': None}"
스태그플레이션,43,0.5443037974683544,0.011422899780457293,0.3959381655338736,0.10406183446612632,0.5566408684957818,0.01543594141251528,"{'stocks': (0.05, 0.25), 'bonds': (0.05, 0.3), 'gold': (0.2, 0.45), 'cash': (0.2, 0.5)}","{'n0': 36.0, 'ridge': 1e-08, 'bounds': None, 'regime_bounds': None}"
디플레이션,49,0.5764705882352941,0.004385849408056594,0.45,0.05000000000000001,0.34361210981109824,0.03388394153363065,"{'stocks': (0.05, 0.25), 'bonds': (0.35, 0.7), 'gold': (0.05, 0.2), 'cash': (0.15, 0.45)}","{'n0': 36.0, 'ridge': 1e-08, 'bounds': None, 'regime_bounds': None}"
